,accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_is_superhost,latitude,longitude,minimum_nights,instant_bookable,is_business_travel_ready,tv,wifi,kitchen,washer,dryer,heating,free_parking,smoking_allowed,property_type,neighbourhood,room_type,cancellation_policy,bed_type
14168,4,1.0,2,100.0,40.0,500.0,0.0,1,3.6125764808074097,76.26733169067236,False,52.49961550575481,13.446565621759785,3,False,False,True,True,True,True,True,True,True,False,1,0,1,2,0
14169,2,1.0,0,21.0,0.0,0.0,0.0,1,6.92271941692246,39.666953208436695,False,52.47931481665857,13.327590409795,20,False,False,False,True,True,True,True,True,False,False,1,4,0,1,0
14170,2,1.0,1,50.0,15.0,500.0,25.0,1,0.9273157856618132,12.0,True,52.528333080344154,13.40553936071589,2,False,False,True,True,True,True,True,True,False,True,1,1,0,0,0
14171,2,1.0,0,45.0,0.0,400.0,0.0,1,3.504530275603432,48.880434758774605,False,52.48940671615616,13.417443406410372,8,True,False,False,True,True,True,False,False,False,False,1,0,1,2,0
14172,2,1.0,1,50.0,25.0,300.0,5.0,1,2.456964340892944,55.814502187265994,False,52.534789837934895,13.431983444928337,3,True,False,True,True,True,True,True,True,False,True,1,2,1,0,0
14173,6,1.0,2,94.0,45.0,0.0,29.0,4,1.749224301148118,88.96159541258051,False,52.52574122039393,13.429071295164526,2,False,False,True,True,True,False,True,True,False,False,1,0,1,0,0
14174,2,1.0,1,35.0,10.0,0.0,20.0,1,7.307991037859337,23.0,True,52.47827095234689,13.32159456528358,3,True,False,True,True,True,False,True,True,False,False,1,4,0,2,0
14175,2,1.0,1,40.0,0.0,0.0,0.0,1,5.099622380214991,45.748911034716244,False,52.52013123213162,13.480370575557014,2,False,False,False,False,False,False,False,False,False,True,1,6,0,2,0
14176,2,1.0,1,35.0,15.0,0.0,20.0,1,4.423062497123094,55.40723047549221,False,52.48280359448749,13.428154772776224,1,False,False,False,True,True,True,True,True,False,False,1,3,0,2,0
14177,4,1.0,2,70.0,20.0,100.0,0.0,1,4.14837631641838,62.54272905323777,False,52.50989313092393,13.345987885162945,2,False,False,True,True,True,True,True,True,True,False,1,1,1,1,0
14178,2,1.0,1,26.0,5.0,0.0,0.0,1,6.680764569908531,12.0,False,52.56025826131479,13.331671442788412,5,True,False,False,True,True,True,True,True,True,False,1,1,0,1,0
14179,2,1.0,1,30.0,6.0,0.0,5.0,1,4.564202877256623,15.0,False,52.48480674340183,13.439703867096766,1,False,False,False,True,True,True,True,True,False,True,4,3,0,1,0
